fid;Kanton;ID_Nr;Latte;Latte-ID;x;y;Dat_Kontrolle;NameMitarbeiter;SampleID;RESULTAT;Male;mtDNAcod;IndividuenID;BioGeoRegions;AltitudeMedian;SettlementProportion;ForestProportion;TypoCH_NUM;TypoCH;OBJEKTART;Distance;Bemerkung
292;SO;611246;C;611246C;611250;246819;21.01.2020;Wehrli;WKMIV571_11_10;Wc;WY;Wmt;Wc51;Jura;730;0.02;0.55;623;Waldmeister-Buchenwald;Wald;50.79198466;
293;SO;611246;C;611246C;611250;246819;18.02.2020;Wehrli;WKMIV664_17_53;F1;WY;Dmt;F1_04;Jura;730;0.02;0.55;623;Waldmeister-Buchenwald;Wald;50.79198466;
294;SO;614242;C;614242C;615050;242100;18.02.2020;Brunner;WKMIV666_15_49;Wc;Unclear;Wmt;Wc22;Jura;1046;0.02;0.34;62;Buchenwälder;;1.27654378;
295;SO;614250;C;614250C;614434;250754;18.02.2020;Brunner;WKMIV667_15_50;Dc;F_orUnknown;Dmt;;Jura;761;0.01;0.61;623;Waldmeister-Buchenwald;Wald;19.8612296;
296;SO;614250;C;614250C;614434;250754;31.03.2020;Brunner;WKMIV855_14_77;Dc;F_orUnknown;Dmt;Dc11;Jura;761;0.01;0.61;623;Waldmeister-Buchenwald;Wald;19.8612296;
297;TG;695278;A;695278A;695019;278054;31.03.2019;Schï¿½r;WKMIII377_6_45;Dc;Unclear;Dmt;;Plateau;457;0.04;0.41;62;Buchenwälder;Wald;41.60918653;
298;TG;695278;C;695278C;695888;278878;14.04.2019;Schï¿½r;WKMIII427_5_22;Dc;DY;Dmt;Dc86;Plateau;457;0.04;0.41;621;Orchideen-Buchenwald;Wald;62.86011479;
299;TG;713278;B;713278B;713850;278791;17.01.2020;Schï¿½r;WKMIV545_10_64;Dc;DY;Dmt;DcSec30;Plateau;537;0.04;0.67;623;Waldmeister-Buchenwald;Wald;379.4939163;
300;VD;500130;C;500130C;500403;130912;22.02.2019;Berlie;WKMIII242_6_20;Wmt;F_orUnknown;Wmt;;Plateau;460;0.07;0.53;62;Buchenwälder;Wald;193.9807053;
301;VD;518170;C;518170C;518874;170365;11.01.2019;Jacquemettaz;WKMIII047_5_44rep;Wc;WY;Wmt;Wc33;Jura;1084;0.05;0.16;624;Zahnwurz-Buchenwald;Wald;59.64272393;
302;VD;533182;C;533182C;533884;182950;11.04.2019;Seletto;WKMIII432_5_23repChip8;Wc;WY;Wmt;Wc67;Plateau;525;0.02;0.17;933;Naturstrasse, Weg;Wald;18.29926167;
303;VD;533182;C;533182C;533884;182950;26.04.2019;Seletto;WKMIII433_9_36;Wmt;Unclear;Wmt;;Plateau;525;0.02;0.17;933;Naturstrasse, Weg;Wald;18.29926167;
304;VD;545166;C;545166C;545889;166064;27.02.2019;Jacquet;WKMIII400_4_73;Dc;DY;Dmt;Dc22;Plateau;786;0.07;0.18;451;Talfettwiese;;2.744699559;
305;VD;548178;B;548178B;548980;178450;04.03.2019;Henrioux;WKMIII260_8_46;Dc;DY;Dmt;DcSec_03;Plateau;704;0.02;0.04;623;Waldmeister-Buchenwald;Wald;42.66572823;
306;VD;548178;C;548178C;548745;178149;21.01.2019;Henrioux/Terranova;WKMIII057_1_21;Dc;Unclear;Dmt;;Plateau;704;0.02;0.04;62;Buchenwälder;Wald;52.91365037;
307;VD;506146;B;506146B;506849;146762;28.03.2020;Nussberger;WKMIV847_14_64;Wc;WY;Wmt;Wc28;Jura;745;0.10;0.51;62;Buchenwälder;Wald;26.95835051;
308;VD;506146;B;506146B;506849;146762;17.04.2020;Nussberger;WKMIV849_14_66;Wc;WY;Wmt;Wc28;Jura;745;0.10;0.51;62;Buchenwälder;Wald;26.95835051;
309;VD;506146;B;506146B;506849;146762;31.01.2020;Nussberger;WKMIV590_11_46;Wc;WY;Wmt;Wc29;Jura;745;0.10;0.51;62;Buchenwälder;Wald;26.95835051;
310;VD;506146;B;506146B;506849;146762;15.02.2020;Nussberger;WKMIV636_12_46;Wc;F_orUnknown;Wmt;Wc02;Jura;745;0.10;0.51;62;Buchenwälder;Wald;26.95835051;
311;VD;506146;C;506146C;506877;146429;15.02.2020;Nussberger;WKMIV637_12_49;Wc;WY;Wmt;Wc30;Jura;745;0.10;0.51;62;Buchenwälder;Wald;148.1436148;
312;VD;506146;D;506146D;506762;146398;04.01.2020;Nussberger;WKMIV520_10_30;Wc;WY;Wmt;Wc30;Jura;745;0.10;0.51;62;Buchenwälder;Wald;70.8115395;
313;VD;512170;B;512170B;512438;170503;24.02.2020;Pieracci;WKMIV699_16_29;Wc;WY;Wmt;Wc31;Jura;1186;0.00;0.69;625;Tannen-Buchenwald;Wald;499.4291212;
314;VD;512170;B;512170B;512438;170503;19.03.2020;Pieracci;WKMIV759_13_27;Wc;WY;Wmt;Wc31;Jura;1186;0.00;0.69;625;Tannen-Buchenwald;Wald;499.4291212;
